video_id,face_present,num_faces,face_size_ratios,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness
gq29wEazZ9M.jpg,1,1,[0.0728],1280,720,921600,1.78,66.26,44.91,97.88,87.53,52.1,13.88
3Q5Ev6WmGZg.jpg,1,1,[0.0911],480,360,172800,1.33,85.28,54.15,70.61,60.52,72.38,147.43
wfQGpAGtISc.jpg,1,1,[0.0728],1280,720,921600,1.78,128.89,47.39,73.43,41.52,112.91,18.66
5EI3f6t9FXA.jpg,0,0,[0],480,360,172800,1.33,126.56,81.34,79.93,91.96,101.17,920.31
ODNl5MAX0sI.jpg,1,1,[0.0352],1280,720,921600,1.78,68.75,41.09,94.42,69.55,56.84,46.03
56RxLg8BojE.jpg,1,1,[0.0506],1280,720,921600,1.78,55.68,41.71,87.36,97.05,44.8,56.16
LmkGBmJs2BM.jpg,0,0,[0],1280,720,921600,1.78,83.37,61.96,48.49,41.21,77.79,233.18
SgTEmHT2BCI.jpg,0,0,[0],1280,720,921600,1.78,141.17,51.59,75.24,32.45,116.31,345.95
BZiAiHGF3zY.jpg,0,0,[0],1280,720,921600,1.78,133.3,63.58,135.7,105.89,98.15,410.06
ftgFlNh1Vq0.jpg,0,0,[0],1280,720,921600,1.78,91.74,65.32,103.28,164.52,75.89,99.53
NmvZUqisjE4.jpg,1,1,[0.0171],1280,720,921600,1.78,90.28,48.28,57.61,55.22,81.02,30.21
8llu1Y7eExQ.jpg,1,1,[0.0506],1280,720,921600,1.78,41.78,30.87,57.81,38.86,36.87,20.48
7GLHVt4JMME.jpg,0,0,[0],1280,720,921600,1.78,163.42,38.42,76.06,91.46,144.58,175.22
lis0OlvaB8U.jpg,1,1,[0.0506],1280,720,921600,1.78,116.14,59.02,68.38,85.3,103.83,237.62
OL8Nwy7h-Lo.jpg,1,1,[0.2168],1280,720,921600,1.78,128.85,71.91,121.59,16.82,101.52,146.18
GR3y-Klaq-8.jpg,0,0,[0],1280,720,921600,1.78,41.02,46.19,207.47,146.97,31.72,184.65
